index_number,game_name,platform,console,release_year,rating,genre,publisher,developer,na_sales,eu_sales,jp_sales,other_sales,global_sales,critic_score,critic_count,user_score,user_count
18,Grand Theft Auto: San Andreas,PS2,PS2,2004,M,Action,Take-Two Interactive,Rockstar North,9.43,0.4,0.41,10.57,20.81,95,80,9,1588
19,Super Mario World,SNES,SNES,1990,,Platform,Nintendo,,12.78,3.75,3.54,0.55,20.61,\N,\N,\N,\N
19,Super Mario World,SNES,SNES,1990,,Platform,Nintendo,,12.78,3.75,3.54,0.55,20.61,\N,\N,\N,\N
20,Brain Age: Train Your Brain in Minutes a Day,DS,DS,2005,E,Misc,Nintendo,Nintendo,4.75,9.26,4.16,2.05,20.22,77,58,7.9,50
21,Pokemon Diamond/Pokemon Pearl,DS,DS,2006,,Role-Playing,Nintendo,,6.42,4.52,6.04,1.37,18.36,\N,\N,\N,\N
22,Super Mario Land,GB,GB,1989,,Platform,Nintendo,,10.83,2.71,4.18,0.42,18.14,\N,\N,\N,\N
23,Super Mario Bros. 3,NES,NES,1988,,Platform,Nintendo,,9.54,3.44,3.84,0.46,17.28,\N,\N,\N,\N
23,Super Mario Bros. 3,NES,NES,1988,,Platform,Nintendo,,9.54,3.44,3.84,0.46,17.28,\N,\N,\N,\N
24,Grand Theft Auto V,X360,X360,2013,M,Action,Take-Two Interactive,Rockstar North,9.63,5.31,0.06,1.38,16.38,96,57,7.9,3756
24,Grand Theft Auto V,X360,X360,2013,M,Action,Take-Two Interactive,Rockstar North,9.63,5.31,0.06,1.38,16.38,97,14,7.9,764
24,Grand Theft Auto V,X360,X360,2013,M,Action,Take-Two Interactive,Rockstar North,9.63,5.31,0.06,1.38,16.38,97,66,8.3,2899
24,Grand Theft Auto V,X360,X360,2013,M,Action,Take-Two Interactive,Rockstar North,9.63,5.31,0.06,1.38,16.38,97,58,8.1,3711
24,Grand Theft Auto V,X360,X360,2013,M,Action,Take-Two Interactive,Rockstar North,9.63,5.31,0.06,1.38,16.38,97,50,8.2,3994
25,Grand Theft Auto: Vice City,PS2,PS2,2002,M,Action,Take-Two Interactive,Rockstar North,8.41,5.49,0.47,1.78,16.15,95,62,8.7,730
26,Pokemon Ruby/Pokemon Sapphire,GBA,GBA,2002,,Role-Playing,Nintendo,,6.06,3.9,5.38,0.5,15.85,\N,\N,\N,\N
27,Pokemon Black/Pokemon White,DS,DS,2010,,Role-Playing,Nintendo,,5.57,3.28,5.65,0.82,15.32,\N,\N,\N,\N
28,Brain Age 2: More Training in Minutes a Day,DS,DS,2005,E,Puzzle,Nintendo,Nintendo,3.44,5.36,5.32,1.18,15.3,77,37,7.1,19
29,Gran Turismo 3: A-Spec,PS2,PS2,2001,E,Racing,Sony Computer Entertainment,Polyphony Digital,6.85,5.09,1.87,1.16,14.98,95,54,8.4,314
30,Call of Duty: Modern Warfare 3,X360,X360,2011,M,Shooter,Activision,Treyarch,,,,,,,,,
30,Call of Duty: Modern Warfare 3,X360,X360,2011,M,Shooter,Activision,Infinity Ward,,,,,,,,,
30,Call of Duty: Modern Warfare 3,X360,X360,2011,M,Shooter,Activision,Infinity Ward,,,,,,,,,
30,Call of Duty: Modern Warfare 3,X360,X360,2011,M,Shooter,Activision,Infinity Ward,,,,,,,,,
